<DOC1004>	车门很溥，关门声音不如帝豪718好听。</DOC1004>
<DOC3914>	君威3.0重飘,富康轻飘,但富康山弯道行驶优于君威.</DOC3914>

<DOC3919>	3系的保养比C系列和A4了要厚道很多。</DOC3919>

<DOC3921>	YLT噪音比捷达高得多。</DOC3921>

<DOC3928>	看了DISCOVERY的坦克节目，也是这个观点，坦克的极端承受能力远大于驾驶员，所以在高速行使和跳跃过程中，坦克没有损伤，但驾驶员的内脏会受不了。</DOC3928>

<DOC3931>	奥德赛要比GL8新潮得多。</DOC3931>

<DOC3937>	希望指导价能一步降到合理，降2-2.5万，然后慢慢由经销商在给合理优惠，达到比去年最低价低5千到一万，才是真正的降价，才能根本扭转市场。</DOC3937>

<DOC3948>	是不准备买捷达车了,去买伊兰特,海马323都比捷达好!!!</DOC3948>

<DOC3949>	宝马不错，是身份尊贵的象征，驾驶性与同级车相比要好的多，必仅是后驱车呀！</DOC3949>

<DOC3954>	4良好的视野，阁瑞斯与货车比视野那肯定不行，但在城市化的今天，满路飞的都是轿车，开着阁瑞斯真是一览众山小啊，爽爽爽啊！</DOC3954>

<DOC3959>	可是这些年，马六为了走销量，品质可以说是没啥进步，我看了看新款的内饰，和老款一点儿区别都见不到。</DOC3959>

<DOC3961>	它的动力可以和自然吸气车的2.5媲美。</DOC3961>

<DOC3970>	【原贴】新浪网友219.131.58.*2004-09-0611:52:43福美来1.8比较同档次车凯悦、宝来、花冠1.8的唯一好处是价位低，比凯悦、宝来省油，但省油又比不上花冠.</DOC3970>

<DOC3986>	发现发动机的声音比ZMII的大，但可以接受。</DOC3986>

<DOC3993>	与307三厢的尾箱对比，207三厢显然在C柱与行李箱盖的过渡线条更加合理。</DOC3993>

<DOC3995>	天籁去年9月份在国内上市，有2.3排量和3.5排量，从海外和国内报价来看，天籁的国内售价要高于海外报价，但其在国内市场深受消费者的喜爱，还被媒体评为2005年年度车型。</DOC3995>

<DOC4000>	各位DX，小第今天看了使者总体感觉还不错，也试开了马力也还可以，前后灯和尾门很漂亮、打方向也不太沉、内室倒没有北斗星好没有转速表但看在5W的份上也可以交货了。</DOC4000>

<DOC4001>	在舒适度方面，新奥德赛比其他MPV都要好。</DOC4001>

<DOC4010>	景程的外观基本和雅阁、帕萨特这些中级车一样。</DOC4010>

<DOC4013>	Spark乐驰1.0标准版本与0.8升车型的个性内饰不同。</DOC4013>

<DOC4014>	可是，我看了一下夏利7131a，7131，发现，激励备受人攻击的地方，钣金，夏利做得更差。</DOC4014>

<DOC4022>	当然相对日本车当然没有欧美车那么安全。</DOC4022>

<DOC4024>	所以我个人认为JD着款车相比其他10万以下的车型是不错的。</DOC4024>

<DOC4033>	到汽车美容店保养比4S便宜约10%。</DOC4033>

<DOC4036>	我的新捷达春天舒适型的跑了1700公里了,感觉还不如菲亚特系列的车,还有起步也不如普桑快其它的目前还没发现,希望以后在这里多给大家一块交流.</DOC4036>

<DOC4048>	该车操控以及安全性能不比crv差。</DOC4048>

<DOC4052>	后排空间比雅阁好。</DOC4052>

<DOC4059>	这是吉利汽车最有创意的一个车标，在整个汽车天地里也不会有如此有特性的车标，非常符合SUV粗犷、奔放、坚实的文化底蕴。</DOC4059>

<DOC4085>	但发动机与空调配套已经彻底解决，空调散热器面积也比老夏利增加很多，开空调时自动增加转速与发动机功率，急加速时与动力断开，还有一些优化措施。</DOC4085>

<DOC4114>	不过说来，奥迪的服务确实够垃圾，还不如二线日本牌子的。</DOC4114>

<DOC4130>	就驾驶和乘坐感觉来看，总感觉7座的避震要比5坐的好。</DOC4130>

<DOC4149>	其实，作为家用，动力性我并不十分看重，一年也跑不了三四万公里，人也过了BIAO车的年龄，各车的发动机都不会差到哪里去。</DOC4149>

<DOC4156>	马自达62.0虽然动力性比2.3减弱了一些，但良好的操控性完整地保留下来。</DOC4156>

<DOC4160>	夏利最大扭矩出现在3600转，而吉利在6000转，所以夏利的提速应该轿吉利快，但是两车功率一样，最高速度不会有太大差距。</DOC4160>

<DOC4170>	因马力大因素，前悬挂承受工作量增大（增加了驱动、转向负荷），转向不足会比马力小前驱更加明显（6缸引擎的体积重量比4缸引擎大重很多，增加车头的重量），加重了刹车系统的负担。</DOC4170>

<DOC4177>	在市区里的加速性能比我们单位里的小面包好多了！</DOC4177>

<DOC4179>	第二，底盘明显不如A3扎实，走在不平的路上，后悬挂的声音感觉有点松散，跟A3那种咚咚声差很远。</DOC4179>

<DOC4187>	3内饰相比同等价位的车来讲确实还算厚道。</DOC4187>

<DOC4191>	德意志人民设计的车总体还是不错的，总比威驰好吧！</DOC4191>

<DOC4193>	与我另一台PassatV6相比，赛纳换入低档的反应比较慢,而且换档也不够畅顺。</DOC4193>

<DOC4197>	内饰也还说的过去，车身高，后座前后空间比较的大，但后座做3人恐怕太拥挤了，比7131车窄了不少。</DOC4197>

<DOC4198>	单从静态的感觉看，新飞度总的表现与老款飞度无异。</DOC4198>

<DOC4203>	应该说A41.8TQuattro加手动5前速变速箱配置比BMW318i较为优胜。</DOC4203>

<DOC4216>	领驭比明锐大气些。</DOC4216>

<DOC4248>	比较天籁的胡桃木就明也；三是感觉广本的市场营销比一汽做的好（毕竟还自认是老大吗？国营企业吗？慢半步），看看三箱飞度那不成比例的线条变知，我估计二箱飞度比三箱好卖，后者实在是难看。</DOC4248>

<DOC4253>	四是就“伙伴”而言随比不上春天（包括伙伴以上的系列），但在基本的配置来说是差不多的，一个人开车注重的是性能个价位的比较，和安全性能。</DOC4253>

<DOC4263>	后排空间也完暴咱小三，还有中央扶手，这点还是很厚道的。</DOC4263>

<DOC4289>	因为新捷达的后面改得太难看了，跟桑塔纳3000一样，都是失败的设计。</DOC4289>

<DOC4290>	凯越的安全性要比骊威好。</DOC4290>

<DOC4292>	后者是金属漆自动档，带车载电话和倒车雷达、天窗和旅行架，内饰比前者强些。</DOC4292>

<DOC4298>	作为城市多用途车，说技术没有polo、福美来好，说价格没有羚羊、派里奥弟，说排气量没有赛欧、高尔、奇瑞大说越野性能又比不上jeep2500、塞弗、中兴猛。</DOC4298>

<DOC4299>	天籁的舒适性绝对在凯美瑞与雅阁之上。</DOC4299>

<DOC4320>	伊兰特1.6的价格12万6千元，很值，毕竟比捷达要值得。</DOC4320>

<DOC4322>	其最大功率达到78Kw，最大扭矩150N.m，超过国内其他车型1.8L发动机的最大输出功率。</DOC4322>

<DOC4324>	B级车本身比C级车车身轻，在同等动力的情况下自然表现突出！</DOC4324>

<DOC4329>	操控感还可以，操作反应不模糊，虽不如PASSET，但比日产、丰田、本田要清晰得多。</DOC4329>

<DOC4364>	不过GX7做工的确没有帝豪好，隔音也不如帝豪，只是后悬挂好点。</DOC4364>

<DOC4371>	但是牌子确实比皇冠好!</DOC4371>

<DOC4373>	3，pro的音响不错，朋友说比他的X1好，比较后心中窃喜。</DOC4373>

<DOC4407>	新飞度的动力性比老飞度有提高。</DOC4407>

<DOC4416>	十三、从发动机排量上看，TT是1.5的排量，夏利N3是1.3的，TT的动力要好一些。</DOC4416>

<DOC4417>	7电子助力，120以上，感觉方向盘比c2的轻，不知道是个体，还是我不习惯。</DOC4417>

<DOC4439>	新宝来销量不如朗逸的主要原因是1、发动机：朗逸比新宝来的略好点（据说新宝来1.6L明年要换成朗逸、波罗的发动机）。</DOC4439>

<DOC4445>	相比POLO的1.6升EA111引擎而言，后者具有双顶置凸轮轴、每缸4气门和终身免维护的链条正时传动等优势。</DOC4445>

<DOC4450>	其次就是方向盘，电子助力转向确实很轻，泊车入库时比夏利轻松很多，但总感觉方向盘的指向有点模糊、不太精确，虽然不是很严重，但是在紧急躲避路面上的碎砖块时还是能感觉得到；</DOC4450>

<DOC4452>	内饰在这个级别车里做的算不错的了,就是储物盒设计不合理,不人性化,没有小日本的车好.</DOC4452>

<DOC4454>	奇瑞QQ比它还窄胳膊也没有碰到门呀！</DOC4454>

<DOC4462>	九、从油耗讲，两种车差不多，我开夏利三缸车加一箱油在市区跑300公里（37升），如果是四缸的N3可能还要费点，TT加一箱油跑350多公里（43升）（在市区平均时速30公里左右）；</DOC4462>

<DOC4463>	实际韩国产品的质量实在不如中国顶尖的名牌!</DOC4463>

<DOC4476>	中规中矩，只是1.6的动力，驾感不如飞度1.5手档。</DOC4476>

<DOC4477>	320加速也很线形，发动机咆哮的声音也很好听，对比同级2点0排量的车，BMW的2.0功率大好多，能在10秒内0-100的加速，好象其他车都跑不出来。</DOC4477>

<DOC4483>	我单位的新捷达和老捷达相比，动力一样，因为发动机一样。</DOC4483>

<DOC4484>	我就想不通;你福美来比依兰特和凯悦车型小,发动机是一个档次的,你所需的钢板比它们少,配置也不如它们,可你的车型都比它们老,价格确和它们一样,按照生产费用,你应该比它们少才对,今年你的价格在7-9万元才是发展的硬道理!</DOC4484>

<DOC4485>	从安全性来看，307的2.0驾御板从车的整装重量和安全设计决不比新宝来1.6板差。</DOC4485>

<DOC4488>	3、新宝来的整车工艺及一些主动安全配置高于奔腾B50；</DOC4488>

<DOC4489>	此外，据调试员介绍，国产宝马的发动机（２．５升排量）、最大扭矩、油耗量等技术参数与德国宝马区别不大。</DOC4489>

<DOC4495>	(5)都说丰田的电子件质量第一,我也不在此做争论.</DOC4495>

<DOC4507>	与老款相比，悦动的制动踏板的反馈力硬朗了许多。</DOC4507>

<DOC4514>	新宝来的车身线条与速腾相似。</DOC4514>

<DOC4515>	按照同类车型，宝来1.6L的最大功率是78Kw，最大扭矩150N.m，功率上略输于前者。</DOC4515>

<DOC4528>	骏捷和F3的车内空间和外观毫不逊色于A3。</DOC4528>

<DOC4529>	日本车的底盘避震比德国车要好一点。</DOC4529>

<DOC4546>	在发动机舱里可以看到两根呈V字形的加强拉杆，这与BMW5系列相似。</DOC4546>

<DOC4550>	不过KY的款式比FML新，就这一点胜FML一点而已。</DOC4550>

<DOC4551>	如果一未追求头部空间，见意买中华的哥们金杯，比奔驰痛快。</DOC4551>

<DOC4572>	在中高档车中最不能和中华比的就是怕撒特，价格高小毛病多，比中费四油，比中一年至少费一万。</DOC4572>

<DOC4592>	它的外型会比Lupo稍微大一些，但是车内空间会有显著增加。</DOC4592>

<DOC4599>	120：之所以把这个车列入选车名单，是因为价格太给力了，就20万左右，样子我也喜欢，发动机功率和320一样比318高。</DOC4599>

<DOC4617>	不过论装配质量，可能**略胜一筹。</DOC4617>

<DOC4642>	捷达车快速转弯时确实比其他同类车可怕.</DOC4642>

<DOC4644>	它动力强劲，加速顺畅，最大功率可达到85马力，使消费者拥有超乎寻常的速度感；同时该车油耗较同级车更低，90公里等速情况下百公里油耗仅5.5升，在油价飞涨的今天，其低油耗无疑成为出击市场的一把利器</DOC4644>

<DOC4654>	我还开过一阵子单位的中华尊驰2.0，空调燥音大，制冷效果和宝宝差不多，但那车我只开了一个月，去了N次维修站。</DOC4654>

<DOC4655>	3、操控是没得说了，即使赶不上迈腾、速腾，但说帕萨特我还是能保证的，以前开过兄弟的帕萨特还是不如我的新宝来，呵呵，要不我就选帕萨特了，起码我是这样认为的。</DOC4655>

<DOC4657>	吉利的空调效果好于夏利，冬天暖风的效果却都是一样，总体感觉还行。</DOC4657>

<DOC4663>	不过和Mazda62.3L相比，其中、高速加速能力还是有一定差距。</DOC4663>

<DOC4670>	风行和瑞风的油耗量不相上下，平均15升/百公里。</DOC4670>

<DOC4677>	而且本田的零件肯定比捷达要贵呢！</DOC4677>

<DOC4700>	5、空间大，和3000比头顶空间一点不逊色，由于本人身材较高，把座调的比较靠后，后排坐人腿有点挤。</DOC4700>

<DOC4704>	中华和PASSAT的成本差不多，8万左右</DOC4704>

<DOC4707>	逍客的空间和230天籁差不多。</DOC4707>

<DOC4710>	我选择使者而非北斗星，还因为：1、使者车型较新，外型较畅，北斗星方方的，第一眼还觉得挺好但越看越不喜欢。</DOC4710>

<DOC4736>	从空间，做工，外观等都比伊兰特,福美来和凯越好的多．</DOC4736>

<DOC4741>	但加速的感觉比C200有冲动，C200的加速也不错，坐的很舒服，绝对有豪华感，细腻。</DOC4741>

<DOC4757>	瑞风的优点就是噪音比全顺小很多,慎重.</DOC4757>

<DOC4776>	相比这些竞争对手，Mazda62.0L豪华型在外形和底盘性能上有一定优势，如果能定一个适合的价格，相信较有竞争力。</DOC4776>

<DOC4778>	和同级别的起亚K2和polo，嘉年华等等车比较，性价比高！</DOC4778>

<DOC4782>	跟宝来及标致307相比底盘的性能肯定要差些,发动机质量也不可比.</DOC4782>

<DOC4783>	其他的人性化功能，也基本上开完车之后，停下来时试了试各项牛B的配置，我感觉就是挺全乎的，我想要的基本都有了，还有几项是别的SUV没有的（这点还是很不错的）。</DOC4783>

<DOC4785>	相比之下宽不了一二公分的雅阁在后面看起来感觉到车身会宽了很多。</DOC4785>

<DOC4788>	类似于此类经典前脸给人的感觉都很霸气，不过，特拉卡的前大灯还是比较温柔的，和现在流行的凶狠型，狡诈型的大灯相比，多了点正气。</DOC4788>

<DOC4790>	2、和3000比档位有些皱，但是挂档比较容易，档位比较清晰，好像在20万以下车手动变速器中能够达到和超过大众变速箱的很少。</DOC4790>

<DOC4797>	花冠的质量比宝来和307好得多!</DOC4797>

<DOC4815>	但悬挂虽软，过弯感觉却不比小三差，转向不足和侧倾均小于，抓地也更稳当，转向过度没开出来，如果多给点时间也许可以玩出些甩尾动作。</DOC4815>

<DOC4892>	朗逸的舒适、豪华配置比一般的德系车高很多。</DOC4892>

<DOC4895>	奇瑞A1的配置远高于飞度。</DOC4895>

<DOC4896>	以上是本人用本人瑞风车感觉,不过此车比金程/金杯看起来要好.</DOC4896>

<DOC4897>	幸福的内饰不错，不过外型不如北斗星！</DOC4897>

<DOC4907>	刚买的捷达cif我就想卖掉，性能与老款差远了，后悔！！！</DOC4907>

<DOC4909>	新马6价格稍高　　比起老款马6，新款马6的改进集中在动力部分，但是以同级别配置比较（豪华型与豪华型相比），反而不如老款马6。</DOC4909>

<DOC4920>	3、新款IDRIVE系统使用比较方便，比很多触摸车载GPS屏幕要方便很多，并且屏幕分辨率确实不错，非常细腻。</DOC4920>

<DOC4924>	看重308还有一点就是内饰很精致，不像FKS那样糙。</DOC4924>

<DOC4926>	六、夏利的发动机是丰田8A的（n3），排量是1.3，TT的发动机是菲亚特的，排量是1.5，两种发动机性能上差不多，当然动力上TT要强点；</DOC4926>

<DOC4927>	7、关于天窗，质感上320不如速腾，同时速腾有百叶窗（关闭时防晒又通风），320是全封闭，向后滑动天窗时，速腾能完全打开，320不能，是不是描述明白了，汗；</DOC4927>

<DOC4934>	还想跟奔驰,宝马比,价格性能都差档次,我代一楼的定.</DOC4934>

<DOC4935>	跟原装GRANVIA比，低1.5～4倍价钱，还算物有所值。</DOC4935>

<DOC4936>	宝马3尽管损失了后排的舒适性，但是由于其动力强劲和外型设计的优越，使其成为这个级别动力最好的车，无论是奔驰C还是A4，S60等都无法望其项背，更不要提帕萨特了！</DOC4936>

<DOC4950>	特瑞和领航者比较,明显动力不足,空间偏小。</DOC4950>

<DOC4951>	22WBORA的配置PLM根本没法比了，哈哈。</DOC4951>

<DOC4978>	韩国车我开过一年多，还是原装1.8的索娜塔，动力还没有福美来1.6的好，没到18万公里发动机就大修了，四个电动车窗也坏了三个。</DOC4978>

<DOC4981>	在最高50~60公里的速度下，隔音个人感觉好于A3。</DOC4981>

<DOC4987>	与其他车型4缸发动机相比，V型6缸发动机最大的优点就是动力性好。</DOC4987>

